player_id,install_date,country,device_type,acquisition_channel,campaign_name,sessions_day_1,sessions_day_7,total_playtime_minutes,levels_completed,in_app_purchases_gbp,ad_views,retained_day_1,retained_day_7,retained_day_30,churned,basic_player_segment
P00068,2026-01-02,United Kingdom,PC,Facebook Ads,FB_Lookalike,9,12,273.3,19,0.0,21,1,1,0,1,Churned
P00069,2026-01-06,United Kingdom,PC,TikTok Ads,TT_Gameplay_Clips,2,0,69.4,3,0.0,0,1,0,0,1,At-Risk Early Drop-off
P00070,2026-02-23,Canada,Android,Organic,Organic,8,18,307.5,20,9.99,40,1,1,1,0,High-Value Retained
P00071,2026-01-04,Nigeria,Android,Facebook Ads,FB_Lookalike,2,3,121.7,5,1.99,8,1,1,0,1,Churned
P00072,2026-02-23,Canada,iOS,TikTok Ads,TT_Gameplay_Clips,7,7,166.1,10,0.0,20,1,1,1,0,Loyal/Engaged
P00073,2026-03-04,Germany,Android,Organic,Organic,4,2,128.7,8,0.0,5,1,1,0,1,Churned
P00074,2026-01-18,Germany,Android,App Store Search,Store_Search_Brand,1,4,101.9,6,0.0,9,1,1,0,1,Churned
P00075,2026-03-31,United Kingdom,Android,Facebook Ads,FB_Lookalike,7,12,234.6,14,0.0,26,1,1,0,1,Churned
P00076,2026-02-13,Nigeria,Android,Facebook Ads,FB_Retargeting,7,12,212.8,16,0.0,16,1,1,0,1,Churned
P00077,2026-02-03,South Korea,Android,Influencer Campaign,Creator_C,2,2,72.8,5,0.0,2,1,1,0,1,Churned
P00078,2026-03-15,Nigeria,Android,Google Ads,GAds_Search,5,4,117.9,10,0.0,10,1,1,1,0,New/Casual
P00079,2026-03-03,France,iOS,Influencer Campaign,Creator_C,0,1,15.5,1,0.0,4,0,0,0,1,Churned
P00080,2026-01-14,United States,Android,Google Ads,GAds_AppInstall,2,1,57.6,5,1.99,5,1,0,0,1,At-Risk Early Drop-off
P00081,2026-02-17,India,Android,Organic,Organic,4,5,106.9,9,0.0,15,1,1,1,0,Loyal/Engaged
P00082,2026-01-15,India,Android,TikTok Ads,TT_Gameplay_Clips,4,7,165.6,9,0.0,15,1,1,1,0,Loyal/Engaged
P00083,2026-03-13,Nigeria,Android,Google Ads,GAds_AppInstall,1,8,171.7,9,0.0,18,1,1,1,0,Loyal/Engaged
P00084,2026-03-19,South Korea,iOS,Facebook Ads,FB_Lookalike,2,3,56.3,6,0.0,7,1,1,0,1,Churned
P00085,2026-03-28,United Kingdom,PC,Organic,Organic,8,7,225.8,17,0.0,16,1,1,1,0,Loyal/Engaged
P00086,2026-03-03,United Kingdom,iOS,Organic,Organic,6,15,259.8,16,0.0,29,1,1,0,1,Churned
P00087,2026-02-09,India,Android,Organic,Organic,4,4,90.6,6,0.0,2,1,1,1,0,New/Casual
P00088,2026-03-26,India,Android,Organic,Organic,4,18,301.9,19,0.0,44,1,1,1,0,Loyal/Engaged
P00089,2026-03-21,United Kingdom,Android,Facebook Ads,FB_Interest_Gaming,1,1,43.8,5,0.0,3,1,0,0,1,At-Risk Early Drop-off
P00090,2026-03-23,United States,iOS,Organic,Organic,4,3,101.0,8,0.0,2,1,1,0,1,Churned
P00091,2026-02-22,United Kingdom,Android,Google Ads,GAds_Search,1,0,32.9,0,0.0,0,1,0,0,1,At-Risk Early Drop-off
P00092,2026-01-24,United States,iOS,Google Ads,GAds_AppInstall,2,2,54.6,3,0.0,2,1,1,1,0,New/Casual
P00093,2026-01-26,India,iOS,Google Ads,GAds_Search,4,2,109.1,6,0.0,3,1,1,0,1,Churned
P00094,2026-03-30,Nigeria,iOS,Influencer Campaign,Creator_C,5,6,139.8,10,0.0,16,1,1,1,0,Loyal/Engaged
P00095,2026-03-01,United States,iOS,TikTok Ads,TT_Launch_Boost,0,0,0.0,2,0.0,0,0,0,0,1,Churned
P00096,2026-02-10,United States,PC,Facebook Ads,FB_Lookalike,4,2,104.8,9,0.0,6,1,1,0,1,Churned
P00097,2026-01-29,United Kingdom,PC,TikTok Ads,TT_Gameplay_Clips,6,11,184.9,13,0.0,20,1,1,1,0,Loyal/Engaged
P00098,2026-01-15,United States,iOS,TikTok Ads,TT_Gameplay_Clips,6,8,150.2,8,0.0,14,1,1,0,1,Churned
P00099,2026-02-14,France,Android,App Store Search,Store_Search_Brand,9,5,196.8,16,0.0,9,1,1,1,0,Loyal/Engaged
P00100,2026-03-06,South Korea,iOS,Organic,Organic,1,12,157.1,13,0.0,25,1,1,0,1,Churned
P00101,2026-03-30,India,Android,Organic,Organic,5,5,77.1,4,0.0,7,1,1,0,1,Churned
P00102,2026-03-12,United Kingdom,Android,Facebook Ads,FB_Retargeting,5,3,126.6,10,0.0,9,1,1,0,1,Churned
P00103,2026-01-09,Japan,PC,Organic,Organic,9,13,255.4,15,0.0,26,1,1,1,0,Loyal/Engaged
P00104,2026-03-29,India,iOS,Influencer Campaign,Creator_A,0,1,41.6,5,0.0,6,0,0,0,1,Churned
P00105,2026-01-01,India,Android,TikTok Ads,TT_Retention_Test,3,1,63.1,8,0.0,1,1,0,0,1,At-Risk Early Drop-off
P00106,2026-01-08,Nigeria,iOS,App Store Search,Store_Search_Brand,5,0,80.8,11,0.0,0,1,0,0,1,At-Risk Early Drop-off
P00107,2026-03-29,Canada,PC,Facebook Ads,FB_Retargeting,5,1,68.2,7,0.0,3,1,0,0,1,At-Risk Early Drop-off
P00108,2026-03-04,United States,iOS,Google Ads,GAds_Search,1,6,151.9,11,0.0,13,1,1,0,1,Churned
P00109,2026-01-11,United Kingdom,Android,App Store Search,Store_Search_Generic,5,8,134.1,9,0.0,17,1,1,1,0,Loyal/Engaged
P00110,2026-03-22,United States,Android,TikTok Ads,TT_Launch_Boost,3,3,106.1,8,0.0,4,1,1,1,0,New/Casual
P00111,2026-01-08,United States,Android,App Store Search,Store_Search_Generic,5,8,187.1,15,0.0,23,1,1,1,0,Loyal/Engaged
P00112,2026-02-04,Nigeria,iOS,Organic,Organic,3,9,148.0,10,4.99,20,1,1,1,0,High-Value Retained
P00113,2026-02-04,Brazil,PC,Google Ads,GAds_Search,7,2,89.4,5,1.99,2,1,1,0,1,Churned
P00114,2026-02-02,Nigeria,iOS,Organic,Organic,11,10,268.4,14,0.0,32,1,1,1,0,Loyal/Engaged
P00115,2026-01-05,United Kingdom,Android,Google Ads,GAds_Search,4,7,126.2,10,0.0,13,1,1,0,1,Churned
P00116,2026-02-10,South Korea,iOS,Organic,Organic,3,1,55.8,6,0.0,4,1,0,1,0,At-Risk Early Drop-off
P00117,2026-01-28,South Korea,iOS,Influencer Campaign,Creator_B,2,3,109.2,7,0.0,3,1,1,1,0,New/Casual
P00118,2026-01-07,India,Android,Influencer Campaign,Creator_A,2,2,75.9,8,0.0,7,1,1,0,1,Churned
P00119,2026-03-14,South Korea,iOS,App Store Search,Store_Search_Brand,5,3,66.1,5,0.0,6,1,1,0,1,Churned
P00120,2026-03-13,Germany,iOS,Organic,Organic,3,4,150.7,10,4.99,14,1,1,1,0,High-Value Retained
P00121,2026-01-12,South Korea,iOS,Google Ads,GAds_Display,4,3,89.7,7,0.0,9,1,1,1,0,New/Casual
P00122,2026-02-03,United Kingdom,iOS,Google Ads,GAds_Display,4,3,92.9,6,0.0,6,1,1,0,1,Churned
P00123,2026-02-02,United States,Android,TikTok Ads,TT_Retention_Test,3,1,77.4,7,0.0,1,1,0,1,0,At-Risk Early Drop-off
P00124,2026-02-17,United States,Android,TikTok Ads,TT_Retention_Test,3,1,86.6,9,0.0,2,1,0,1,0,At-Risk Early Drop-off
P00125,2026-01-23,United States,iOS,TikTok Ads,TT_Retention_Test,6,7,216.0,12,0.0,16,1,1,0,1,Churned
P00126,2026-03-03,United Kingdom,iOS,Facebook Ads,FB_Retargeting,6,1,53.5,6,0.0,3,1,0,0,1,At-Risk Early Drop-off
P00127,2026-03-29,France,iOS,Google Ads,GAds_Search,2,2,95.6,8,0.0,3,1,1,0,1,Churned
P00128,2026-02-06,India,iOS,TikTok Ads,TT_Launch_Boost,5,6,165.6,12,4.99,11,1,1,0,1,Churned
P00129,2026-02-13,Germany,Android,Organic,Organic,2,4,95.6,9,0.0,4,1,1,0,1,Churned
P00130,2026-03-27,United Kingdom,Android,Organic,Organic,4,2,110.7,8,0.0,3,1,1,0,1,Churned
P00131,2026-02-04,India,iOS,Organic,Organic,2,6,146.4,11,0.0,15,1,1,0,1,Churned
P00132,2026-03-06,France,iOS,App Store Search,Store_Search_Generic,0,0,0.5,3,0.0,1,0,0,0,1,Churned
P00133,2026-02-16,Canada,iOS,Organic,Organic,4,11,242.7,14,9.99,23,1,1,1,0,High-Value Retained
P00134,2026-03-19,France,Android,Organic,Organic,2,14,180.0,13,0.0,30,1,1,1,0,Loyal/Engaged
P00135,2026-01-03,United States,PC,TikTok Ads,TT_Launch_Boost,3,2,54.6,5,0.0,3,1,1,1,0,New/Casual
P00136,2026-01-01,United States,iOS,Influencer Campaign,Creator_A,0,6,100.5,7,0.0,15,0,1,0,1,Churned
P00137,2026-01-05,Japan,iOS,App Store Search,Store_Search_Brand,3,0,107.1,7,0.0,0,1,1,0,1,Churned
P00138,2026-03-31,United States,Android,Influencer Campaign,Creator_B,6,6,147.3,11,0.0,12,1,1,0,1,Churned
P00139,2026-01-14,Nigeria,PC,Facebook Ads,FB_Lookalike,2,0,50.2,5,0.0,1,1,0,0,1,At-Risk Early Drop-off
P00140,2026-01-27,Japan,iOS,Google Ads,GAds_Display,4,1,114.8,9,0.0,3,1,1,0,1,Churned
P00141,2026-01-09,Brazil,iOS,Organic,Organic,5,1,79.5,6,0.0,3,1,0,1,0,At-Risk Early Drop-off
P00142,2026-03-20,United Kingdom,iOS,App Store Search,Store_Search_Brand,6,6,125.5,6,0.0,10,1,1,1,0,Loyal/Engaged
P00143,2026-01-15,United Kingdom,Android,Facebook Ads,FB_Interest_Gaming,0,1,36.6,4,0.0,4,0,0,0,1,Churned
P00144,2026-03-31,United Kingdom,iOS,Google Ads,GAds_AppInstall,3,7,177.3,12,0.0,14,1,1,1,0,Loyal/Engaged
P00145,2026-02-11,France,iOS,Facebook Ads,FB_Interest_Gaming,5,7,160.8,11,0.0,16,1,1,1,0,Loyal/Engaged
P00146,2026-03-18,Canada,Android,Facebook Ads,FB_Interest_Gaming,10,13,319.3,19,0.0,28,1,1,1,0,Loyal/Engaged
P00147,2026-02-20,United Kingdom,iOS,Google Ads,GAds_Search,5,2,117.4,6,0.0,4,1,1,0,1,Churned
P00148,2026-03-04,South Korea,Android,App Store Search,Store_Search_Brand,4,9,158.9,12,0.0,20,1,1,1,0,Loyal/Engaged
P00149,2026-02-21,Nigeria,iOS,App Store Search,Store_Search_Brand,1,1,56.3,5,0.0,1,1,0,0,1,At-Risk Early Drop-off
P00150,2026-01-04,United States,iOS,Facebook Ads,FB_Lookalike,1,6,93.7,8,0.0,13,1,1,1,0,Loyal/Engaged
P00151,2026-01-23,Nigeria,Android,Facebook Ads,FB_Lookalike,8,10,202.3,13,4.99,17,1,1,1,0,High-Value Retained
P00152,2026-01-15,France,iOS,Organic,Organic,10,13,383.0,23,0.0,29,1,1,1,0,Loyal/Engaged
P00153,2026-02-12,United Kingdom,PC,Facebook Ads,FB_Retargeting,4,7,176.5,11,0.0,13,1,1,0,1,Churned
P00154,2026-01-29,United States,Android,Organic,Organic,0,3,92.5,5,4.99,6,0,1,0,1,Churned
P00155,2026-02-05,India,iOS,Google Ads,GAds_Search,9,7,175.4,13,0.0,17,1,1,0,1,Churned
P00156,2026-01-13,Nigeria,Android,App Store Search,Store_Search_Generic,0,1,86.2,6,0.0,0,0,0,0,1,Churned
P00157,2026-02-01,Germany,iOS,Google Ads,GAds_Display,5,1,114.5,9,0.0,2,1,1,0,1,Churned
P00158,2026-03-12,Canada,PC,Google Ads,GAds_AppInstall,8,10,266.0,18,4.99,21,1,1,0,1,Churned
P00159,2026-02-28,United Kingdom,iOS,TikTok Ads,TT_Launch_Boost,4,5,172.8,10,0.0,14,1,1,0,1,Churned
P00160,2026-03-27,United Kingdom,Android,Organic,Organic,5,2,62.0,3,0.0,3,1,1,0,1,Churned
P00161,2026-01-28,Canada,iOS,Facebook Ads,FB_Interest_Gaming,8,7,155.3,15,0.0,26,1,1,1,0,Loyal/Engaged
P00162,2026-03-07,United States,Android,Organic,Organic,3,5,93.9,6,0.0,12,1,1,0,1,Churned
P00163,2026-02-11,United Kingdom,Android,Organic,Organic,4,13,199.4,14,0.0,22,1,1,1,0,Loyal/Engaged
P00164,2026-02-14,India,Android,TikTok Ads,TT_Gameplay_Clips,6,5,151.1,14,0.0,11,1,1,1,0,Loyal/Engaged
P00165,2026-03-03,South Korea,iOS,Influencer Campaign,Creator_B,3,5,104.8,9,0.0,8,1,1,0,1,Churned
P00166,2026-02-26,India,iOS,Facebook Ads,FB_Retargeting,11,8,270.8,16,0.0,17,1,1,1,0,Loyal/Engaged
P00167,2026-01-06,India,Android,Organic,Organic,4,6,186.6,12,0.0,15,1,1,0,1,Churned
P00168,2026-01-28,United States,PC,TikTok Ads,TT_Gameplay_Clips,4,3,102.8,6,0.0,5,1,1,0,1,Churned
P00169,2026-01-28,South Korea,iOS,Google Ads,GAds_Display,4,5,175.9,14,0.0,12,1,1,1,0,Loyal/Engaged
P00170,2026-02-13,United States,Android,Facebook Ads,FB_Interest_Gaming,2,3,124.2,10,0.0,6,1,1,0,1,Churned
P00171,2026-03-25,South Korea,iOS,Facebook Ads,FB_Lookalike,2,9,147.7,9,0.0,21,1,1,0,1,Churned
P00172,2026-01-30,South Korea,Android,TikTok Ads,TT_Gameplay_Clips,1,1,4.8,0,0.0,2,1,0,0,1,At-Risk Early Drop-off
P00173,2026-03-03,Brazil,iOS,Google Ads,GAds_Search,4,2,85.6,4,0.0,7,1,1,0,1,Churned
P00174,2026-03-16,South Korea,iOS,Google Ads,GAds_Search,0,0,18.9,5,1.99,0,0,0,0,1,Churned
P00175,2026-03-30,Germany,Android,Influencer Campaign,Creator_C,1,0,48.2,5,0.0,0,1,0,1,0,At-Risk Early Drop-off
P00176,2026-03-03,United States,iOS,Google Ads,GAds_Display,7,5,153.2,11,0.0,9,1,1,0,1,Churned
P00177,2026-01-01,Canada,Android,TikTok Ads,TT_Launch_Boost,3,5,120.6,7,0.0,9,1,1,0,1,Churned
P00178,2026-01-27,Germany,Android,TikTok Ads,TT_Retention_Test,2,7,148.1,7,0.0,15,1,1,0,1,Churned
P00179,2026-03-03,United Kingdom,iOS,Google Ads,GAds_AppInstall,6,17,256.7,18,0.0,41,1,1,1,0,Loyal/Engaged
P00180,2026-03-18,France,iOS,Influencer Campaign,Creator_B,5,8,181.3,12,0.0,13,1,1,1,0,Loyal/Engaged
P00181,2026-01-03,South Korea,Android,Google Ads,GAds_Display,4,5,116.0,10,0.0,11,1,1,1,0,Loyal/Engaged
P00182,2026-03-11,United States,iOS,Facebook Ads,FB_Retargeting,4,8,168.0,11,0.0,15,1,1,0,1,Churned
P00183,2026-03-13,India,Android,Facebook Ads,FB_Interest_Gaming,2,8,170.9,11,0.0,29,1,1,0,1,Churned
P00184,2026-01-27,Japan,Android,Google Ads,GAds_AppInstall,3,4,76.4,8,0.0,11,1,1,0,1,Churned
P00185,2026-01-09,South Korea,Android,TikTok Ads,TT_Gameplay_Clips,0,3,64.0,7,0.0,5,0,1,1,0,New/Casual
P00186,2026-03-03,South Korea,iOS,Influencer Campaign,Creator_A,3,3,92.0,9,0.0,6,1,1,0,1,Churned
P00187,2026-02-06,Nigeria,iOS,TikTok Ads,TT_Launch_Boost,4,8,150.1,10,1.99,16,1,1,1,0,High-Value Retained
P00188,2026-02-20,South Korea,iOS,Google Ads,GAds_AppInstall,2,0,73.5,7,0.0,0,1,0,1,0,At-Risk Early Drop-off
P00189,2026-02-13,Brazil,iOS,App Store Search,Store_Search_Brand,0,4,65.0,8,0.0,10,0,1,0,1,Churned
P00190,2026-01-24,United Kingdom,iOS,Organic,Organic,5,2,85.1,7,9.99,5,1,1,1,0,High-Value Retained
P00191,2026-03-20,Nigeria,Android,Organic,Organic,3,1,53.3,4,0.0,2,1,0,0,1,At-Risk Early Drop-off
P00192,2026-02-28,Brazil,iOS,TikTok Ads,TT_Retention_Test,4,8,190.3,15,0.0,12,1,1,0,1,Churned
P00193,2026-02-01,United States,iOS,App Store Search,Store_Search_Generic,4,2,78.7,5,0.0,2,1,1,0,1,Churned
P00194,2026-03-29,France,iOS,Organic,Organic,10,8,222.5,16,0.0,14,1,1,0,1,Churned
P00195,2026-02-21,France,Android,Organic,Organic,4,2,140.4,10,0.0,6,1,1,0,1,Churned
P00196,2026-03-03,United Kingdom,iOS,Organic,Organic,0,0,33.1,0,0.0,0,0,0,0,1,Churned
P00197,2026-02-27,Germany,Android,Organic,Organic,3,3,122.8,11,0.0,7,1,1,1,0,New/Casual
P00198,2026-02-21,India,iOS,Organic,Organic,6,11,256.8,11,0.0,23,1,1,0,1,Churned
P00199,2026-01-12,Nigeria,Android,Google Ads,GAds_AppInstall,2,6,148.7,6,0.0,15,1,1,0,1,Churned
P00200,2026-02-08,United Kingdom,Android,Google Ads,GAds_Search,2,0,50.6,6,0.0,0,1,0,0,1,At-Risk Early Drop-off
P00201,2026-01-02,United Kingdom,iOS,Organic,Organic,4,15,263.1,18,0.0,37,1,1,1,0,Loyal/Engaged
P00202,2026-01-03,United States,iOS,TikTok Ads,TT_Launch_Boost,3,3,62.8,4,0.0,7,1,1,0,1,Churned
P00203,2026-02-25,Japan,iOS,Organic,Organic,2,2,55.5,5,0.0,6,1,1,0,1,Churned
P00204,2026-03-22,United States,iOS,TikTok Ads,TT_Gameplay_Clips,4,6,123.9,4,0.0,11,1,1,1,0,Loyal/Engaged
P00205,2026-02-28,France,Android,Google Ads,GAds_Display,5,8,227.0,16,1.99,15,1,1,1,0,High-Value Retained
P00206,2026-01-02,United States,Android,Facebook Ads,FB_Retargeting,2,2,54.7,6,0.0,4,1,1,0,1,Churned
P00207,2026-01-02,United States,Android,Organic,Organic,6,7,146.3,10,0.0,12,1,1,1,0,Loyal/Engaged
P00208,2026-02-23,India,Android,Google Ads,GAds_AppInstall,4,3,76.9,6,4.99,9,1,1,0,1,Churned
P00209,2026-03-28,Brazil,iOS,TikTok Ads,TT_Retention_Test,2,0,65.0,7,0.0,0,1,0,0,1,At-Risk Early Drop-off
P00210,2026-01-01,United Kingdom,iOS,Influencer Campaign,Creator_B,2,9,162.6,11,0.0,26,1,1,0,1,Churned
P00211,2026-01-19,Canada,Android,Facebook Ads,FB_Interest_Gaming,7,20,358.2,18,0.0,50,1,1,1,0,Loyal/Engaged
P00212,2026-01-02,United Kingdom,iOS,Google Ads,GAds_Search,8,12,259.8,21,0.0,25,1,1,1,0,Loyal/Engaged
P00213,2026-02-22,Nigeria,Android,Organic,Organic,2,4,64.5,8,4.99,9,1,1,1,0,High-Value Retained
P00214,2026-02-13,France,iOS,App Store Search,Store_Search_Brand,3,1,50.8,2,1.99,3,1,0,0,1,At-Risk Early Drop-off
